X,Y,FID,MSOA21CD,GlobalID,GlobalID_2
257281.4099,113783.8774,52,E02004226,20ea062a-d349-43a7-9da2-85d912bd02f9,3bcb4373-72a7-4679-9427-607cd89b327d
486625.6435,179384.537900001,53,E02003428,69b3e58c-1349-4c09-b104-e16be0d1ed43,55f0dbec-7580-4b0e-b84a-0beae90108e8
328695.7836,137247.4838,54,E02006071,04bd75a2-b9e9-458f-809b-8e1203eea475,4972c7bd-25a9-42d1-a035-8b9e0fc1b973
292014.8044,92777.7506000008,55,E02004156,6084f0ba-a63e-469f-b9b0-c7d89ab52f7e,3743c07e-701f-4081-a2ba-10abceed5b93
531524.7224,168329.048800001,56,E02000202,6783924a-706a-41f8-8bf6-781a903cc8d7,468e3c8c-49b3-46ca-b468-79e296f1a64b
578837.4425,109368.508400001,57,E02004377,a752ad9e-e037-49ae-a239-943ec25f54ab,4d73e32e-292d-480c-aa0a-987809d00b88
294797.6949,92980.0392000005,58,E02004155,5b3ca848-031b-4a83-8be6-57c91df99756,5fddd8c1-fff9-472b-b484-508e445e876e
488321.7852,121232.7947,59,E02006564,56c01812-8d0c-4434-af92-fa2580a2aedb,2563f8b2-86dd-4984-bf83-213c089228aa
481357.9208,168988.3149,60,E02003451,527550af-0d90-4d73-96b2-29b18166abc6,b86e4c34-d5a9-4cb5-b000-2a80adea1b09
528468.6729,173705.6204,61,E02000943,a471582f-34ca-4bd8-ba78-ab86ba5e30ac,453d8623-fe72-4e7c-a2d7-bc512f0a2598
458373.1997,81949.7905000001,62,E02003596,cb14ec9a-2d97-41f1-87e5-0abc556a08a4,49f9e394-ba02-485e-8037-cbdca880405a
514743.7466,156161.1592,63,E02006366,69482325-56d6-4a70-92b5-3a9855093ee0,c5ea94bb-f83d-4cdb-a55e-2c237b501550
535130.7475,193751.7106,64,E02000301,fc9301d2-346c-49ff-8d5a-581565395697,ed2c0300-30eb-4854-b005-0de8d60d91c8
524381.1435,180610.082699999,65,E02000583,373de556-8f3c-493e-a8f0-3214f2c06eda,210fed1f-3a3f-4b6a-9ea1-694f091841da
580059.9088,165271.1609,66,E02003343,ce96b706-207f-4401-becd-50c0f22109b7,df1b231b-3d91-4a1e-8090-7352650bfa0e
300681.659,82734.0719000008,67,E02004144,59372e10-ed76-4f6a-b625-5a533fed55ef,24aec085-a340-48e1-8402-e9a57cdb86e2
546702.0311,169245.8912,68,E02000140,bbf503e8-630a-453b-ae17-8634f014887a,c25e98ad-091f-4cc1-ba6e-0f59f472af8c
536776.4157,188133.9087,69,E02000912,055a6d7f-c63a-45e0-80d6-a1cfae4afe35,0c318b8d-e798-43b2-a2e8-a5eeb32d0cae
432659.6388,95800.1199999992,70,E02004795,4e45e5b7-ebc2-42ce-a9ca-3944cc89c387,a7b1fe5e-fc9d-4aba-baf3-c213ee3d3e6d
271120.3046,125866.1241,71,E02004187,ca093e51-9557-44e6-9d30-ceac20d7780f,44ffb307-3600-4556-a533-d967dd883e6c
534387.7582,176919.4911,72,E02000828,dc9cd4cf-ca11-45f0-b4b4-b24164c83eeb,090f3e65-cddd-4027-a506-49ae9c08f316
527583.2757,137150.1971,73,E02006578,cbe97a21-5714-431f-80ac-c5fbc938c0cd,7b3386e6-51b5-4ce6-9a44-7fb3da19a02c
519280.1725,190925.714,74,E02000439,1b83730f-9f0a-4295-b738-8edfd75926a4,ed09c58c-148c-4005-9a9e-06ce720ef332
529269.4907,186572.6818,75,E02000557,b4a4f1c5-1bb1-495c-8a19-d092affcd72c,336cafc4-c3bb-4ab4-9ab8-b4ed25988b07
292346.078,56072.9298,76,E02003170,6f036a12-ad34-4989-9684-a499322ab975,48cc4f34-8007-4e23-ba9a-5e9da96dc86d
533414.6503,182840.9551,77,E02007111,74e4a120-4455-4dfb-815a-24c2b496037f,e1563947-029a-401b-b82c-c03940e1b6b2
572057.121,169099.5189,78,E02003321,e5bb3973-4d15-4477-b90b-bf01f8516c33,aa34286f-4178-4880-b6d2-da0e4d672189
528977.2554,183426.3564,79,E02000186,bda71eb2-2c82-4c81-abef-7672845fb5ba,46eecf0e-30df-4cf5-9595-ddf44f827fca
523197.5767,180234.527899999,80,E02000375,45dc58cd-5044-451e-8078-7a54d3930117,14f7330a-30f6-448a-8c8c-cd01a68fcce0
451060.8903,106788.478499999,81,E02004731,0daae61b-2717-448a-acb9-207bc1074a5a,35a60923-656c-4f2e-bd33-44b59fbe750e
558340.9162,138256.929300001,82,E02005173,7b1c7539-b6b3-47a0-baa6-81ec5d870393,9e6b96da-572e-4a38-aab5-763fe6ced84d
537498.4771,179542.0175,83,E02006853,7de1a934-7fb7-4ccc-98b2-9b778eea7ec4,302ddebd-8bb3-4049-8463-fffd1d656e20
408010.5738,95492.8136999998,84,E02003174,aac19d02-4ce8-4f95-bfda-60c2f0255ae2,390287dc-f109-4a01-8a83-e3e9900f4534
435925.6933,144931.1996,85,E02004819,38e848dd-42e5-4ce3-bae9-d75351f3ef23,9ac4fc77-9195-4d6b-bc6b-95c61bc20059
401434.4401,284182.1731,86,E02001911,194cf336-3ee1-4958-9fd9-2a274196eec0,89ba5fc9-13d4-4c6a-afec-4b9bc8461d02
327767.4567,195990.645400001,87,W02000331,93b5b7a2-1e4c-4b18-9dcb-084388b1673d,c70bd8f6-ef04-408d-afa6-3db6781b0693
496469.2883,177655.521,88,E02003430,d7d30737-3561-4593-8796-b1e7d77527dc,0739300a-aab5-4673-92c1-a1a5b9655f21
